i	xhat	x_rek	x_srk	x_gerk_ad
1	0	0.310609451081072	0	0
2	0	0.108305078449244	0	0
3	0	0.086126402405647	0	0
4	0	0.0903023503201448	0.485248928852314	0
5	0	0.170813685221302	2.61514693151049	0
6	0	0.106978958072543	0	0
7	0	0.0803084187266684	0	0
8	0	0.0645277949594222	0	0
9	0	0.192081350300748	0	0
10	1.7419403153994	0.881250859643477	1.50613738486468	1.73973093519643
11	0	0.0859603259558411	0	0
12	0	0.192181757465098	0.955847652099293	0
13	0	0.0601647882553806	0.092784259107721	0
14	0	0.247563270453674	0	0
15	1.25388906933563	0.699662190563776	2.59616843121374	1.25303709713815
16	0	0.299735731611538	0	0
17	0.58099996081203	0.459477629378996	0.084612276348512	0.58120525393276
18	0.266722381936375	0.351326648604213	0.0360604024018238	0.265563936997374
19	0	0.030465262744638	0	0
20	0	0.209103807343956	0.743649624165451	0
21	0	0.216992448900503	0	0
22	0	0.237611518553101	0	0
23	0	0.134436351740728	0	0
24	0	0.205709399919884	0.0954369066902769	0
25	0	0.227058415926053	0	0
26	0	0.11293207400194	1.07942160653674	0
27	0	0.0882017775605664	0	0
28	0	0.138718817804754	0	0
29	0	0.186572888717439	0	0
30	0	0.0936843395817428	0	0
31	0	0.133378982166768	1.08630559879169	0
32	0	0.241709225274068	0	0
33	0	0.198559445578765	0.788442378949848	0
34	0	0.108735675645151	0	0
35	0	0.0246351958213424	0	0
36	0	0.201678030004941	0	0
37	0	0.105622905189031	0	0
38	0	0.105659250267364	0	0
39	0	0.104411213315273	0	0
40	0	0.0495177565149773	0	0
41	0	0.0789706996417694	0	0
42	0	0.193895144477342	0	0
43	0	0.232366362255642	0.0449545889510548	0
44	0	0.29997475391348	0	0
45	0	0.0539700759889729	1.21524212725838	0
46	0	0.149810096902451	0	0
47	0	0.118079129540317	0	0
48	0	0.151359756427633	0	0
49	0	0.0872628387232617	0	0
50	0	0.111276503074581	0	0
51	1.65736989447702	0.923385607556262	1.74533399130325	1.65778333357474
52	0	0.0991778011028076	0	0
53	0	0.1373661105938	0	0
54	0	0.173840136430279	0.497064021134325	0
55	0	0.0689624202814633	0	0
56	0	0.2174807708608	0	0
57	0	0.207916482958636	0.699323139743867	0
58	0	0.107002531322778	0	0
59	0	0.138646917661948	0	0
60	0	0.130184555610638	0.677587651702856	0
61	0	0.0934669005826424	0	0
62	0	0.038047056617495	0	0
63	0	0.0442904491172864	0.350595941140721	0
64	0	0.224454260797526	0	0
65	0	0.106697664764551	0	0
66	0	0.152593022929751	0	0
67	0	0.287005078695617	0.858984748063357	0
68	0	0.0770901884502346	0	0
69	0	0.0101536046585235	0	0
70	0	0.111629802590516	0	0
71	0	0.221294210481966	0	0
72	0.777802457317656	0.438762018206388	0.55486343029945	0.779653444196893
73	0	0.191951522542934	0	0
74	0	0.260816721390678	0	0
75	0	0.0266973961328766	0	0
76	0	0.0675066397146701	0	0
77	0	0.0972930925677902	0	0
78	0	0.152970758712859	0	0
79	0	0.0188469182878864	0	0
80	2.00455648104479	0.982178851065466	2.02007478079046	2.00441633185144
81	0	0.156870999568657	0	0
82	1.40412079567399	0.61794146566783	0	1.40486034306308
83	0	0.107822606473165	0	0
84	0	0.184212443652003	0	0
85	0	0.0875992021882406	0	0
86	0	0.107564007929183	0	0
87	0	0.0956806793172567	0	0
88	0	0.113690282120587	1.0288993941653	0
89	0	0.0189238269907272	0	0
90	0	0.192599338715276	0	0
91	0	0.182022857799708	0	0
92	0	0.170261741999919	0	0
93	0	0.213642481289196	0	0
94	0	0.193362575769156	0	0
95	0	0.26531606659825	1.54829158846686	0
96	0	0.0951751229416154	0	0
97	0	0.0749765753915009	0	0
98	0	0.231662564929032	0	0
99	0	0.104127722559236	0	0
100	0	0.110584191529405	0	0
101	0	0.147611052169474	0	0
102	0	0.0567870005503155	0	0
103	0	0.385011364560104	0	0
104	0	0.167530711087699	0	0
105	0	0.04622104172147	0	0
106	0	0.156417302507988	0	0
107	0	0.0869917686080815	0	0
