i	bhat	b
1	12.0416527223035	40.6769741363595
2	4.3742609604008	27.7751045062451
3	4.68969643357324	9.92446116914097
4	20.7789999082868	42.4014001717198
5	16.7511185745461	42.4246858245632
6	13.9632051417698	63.0672057888506
7	9.04028641291377	46.4374213169293
8	8.45734143790719	46.1879881559928
9	6.17485673762943	45.368913756485
10	11.6310598435207	9.44868423513996
11	1.56508630899424	21.5943189596581
12	8.76814778891284	37.6132059632671
13	4.58697225533478	32.2701133145149
14	16.8446781751916	11.0149328400185
15	8.88757879289203	43.9919156352823
16	7.33028222736194	40.2263381540193
17	3.26913796796044	31.6591475657388
18	15.8854729398357	40.0140909088849
19	3.01528492213171	43.7370407805394
20	13.3110692316937	30.6075530695107
21	6.62970999639306	38.93557509654
22	7.10594754652667	60.424381564143
23	5.86174960932179	63.0528284756453
24	5.46822318252585	11.7802265685638
25	5.53109365841075	11.7243763317412
26	8.60681075461376	76.4959300595839
27	10.2859717679082	77.1113569705498
28	4.12020512835307	50.4365305633017
29	10.2310726933109	30.4517516811793
30	14.9110237617475	66.7521004906365
31	5.72856209756997	76.2418744878609
32	10.027667663779	33.9322582218821
33	9.54652559522307	47.4836997950691
34	2.08006005374831	43.5035875174356
35	8.75074441549784	44.8864560578106
36	5.7204214837869	48.5143830475884
37	8.97879209695284	29.588798529037
38	6.34589303639901	57.554070653279
39	6.68499342580176	26.1458820879688
40	4.66432241456788	14.5697815020802
41	6.79262119597685	43.7844249271792
42	9.64790983938761	47.221042785883
43	15.5019774482878	12.3446872242024
44	14.1352504709034	25.5334993788647
45	0.885643259353882	34.4249775357615
46	4.49017196181181	24.8708760500873
47	1.15585755041202	24.9744987186535
48	14.8642613857077	17.6089305901368
49	13.0527071267905	26.3183047858123
50	7.79792233959641	47.5481697098552
51	4.30678205317577	54.2621677880889
52	10.638390962454	46.8272611812499
53	2.40552089499543	36.0830110905307
54	1.18624256825876	48.1003200664115
55	4.27820371639962	41.4589925518106
56	12.1639853972511	42.5424816600634
57	8.99336093811025	40.2289493604118
58	4.01598720373792	15.649524080855
59	5.477687553434	19.5667027242352
60	3.80482023667165	66.4802011286707
61	8.08979907331113	39.4361781124732
62	1.72825850292459	35.0188520687102
63	4.79881521676861	78.7985958730123
64	10.8495107365347	26.993401362689
65	4.22434470710869	36.3967379496983
66	6.40525846309143	26.6974375583148
67	6.87585258900939	73.1805877639132
68	25.0172566251214	37.1020815286303
69	3.36442623675381	61.2594704079674
70	8.41620415904754	55.3096805190765
71	4.06528056996148	39.3197941490838
72	18.0358733716172	67.0793795132393
73	12.8697800890017	13.3764835442125
74	8.38648439250408	49.9710862251253
75	3.7530544830848	83.9983715593053
76	17.9949229232248	15.933380890995
77	12.2127581646074	71.0479016672468
78	9.49769703467822	33.1138040167233
79	3.49217841123289	33.9348733153621
80	9.56696543524151	54.2051627890607
81	7.16454160117619	59.6754645442149
82	17.0049206607445	42.4823322970793
83	6.95734474672456	42.3904999935581
84	8.27701353632108	14.8877306492083
85	9.18605202685957	14.22162480658
86	11.6309186931434	41.9885948657462
87	7.00952522413253	70.1105595066097
88	4.77297984804577	38.7018389756472
89	4.30445460215741	83.4470202037316
90	6.47428626484259	31.562071056262
91	14.4035382524459	27.3952989374491
