i	bhat	b
1	-0.317721529486632	-0.317721529486632
2	0.225132852287524	0.225132852287524
3	0.371268999151973	0.371268999151973
4	-0.641438737822781	-0.641438737822781
5	0.413576513111121	0.413576513111121
6	-0.303068011920875	-9.66047823852701
7	0.684929768244679	0.684929768244679
8	-0.357549235837588	-0.357549235837588
9	-0.529595604041212	-0.529595604041212
10	0.35271563136159	0.35271563136159
11	-0.93921653594822	-0.93921653594822
12	-0.808806761047796	-0.808806761047796
13	-0.669736378078328	-0.669736378078328
14	-0.615508094284351	-0.615508094284351
15	-0.573321770470244	-0.573321770470244
16	0.314703445349779	0.314703445349779
17	-0.518989826467718	-0.518989826467718
18	0.642277938434216	0.642277938434216
19	-0.0775524419340165	-0.0775524419340165
20	-0.0134023013161749	-0.0134023013161749
21	0.219210167535881	9.57662039414202
22	0.489057801342022	0.489057801342022
23	-0.690749911507998	-0.690749911507998
24	0.354460873096102	0.354460873096102
25	-0.0208054530956972	-0.0208054530956972
26	-0.0604591298154157	-0.0604591298154157
27	0.508215119884831	0.508215119884831
28	0.666767675378275	0.666767675378275
29	0.249739802418409	0.249739802418409
30	-0.496605228460027	-0.496605228460027
31	-0.753511776013607	-0.753511776013607
32	0.211825449963604	0.211825449963604
33	0.103409108905436	0.103409108905436
34	-0.348931570326221	-0.348931570326221
35	0.222608362545265	0.222608362545265
36	0.0659986367059764	0.0659986367059764
37	0.0773045178829749	0.0773045178829749
38	-1.19146865003663	-1.19146865003663
39	0.188540066256133	0.188540066256133
40	0.0221800017236487	0.0221800017236487
41	-0.268642843199622	-0.268642843199622
42	-0.731827027767218	-0.731827027767218
43	0.0358218838260508	0.0358218838260508
44	-0.376678360698828	-0.376678360698828
45	0.772780102545691	0.772780102545691
46	0.662197634265951	0.662197634265951
47	-0.200107613872043	-0.200107613872043
48	-0.675243610111569	-0.675243610111569
49	0.70586758928637	0.70586758928637
50	0.632481326245124	0.632481326245124
51	-0.624454104928232	-0.624454104928232
52	0.239798349989784	0.239798349989784
53	-0.192723456373644	-0.192723456373644
54	-0.159108427196982	-0.159108427196982
55	-0.324601079737454	-0.324601079737454
56	0.846138782559864	0.846138782559864
57	1.06388101611891	1.06388101611891
58	0.0912027044939932	0.0912027044939932
59	0.159252808413752	0.159252808413752
60	-0.0777838408470715	-0.0777838408470715
61	-0.205030873330835	-0.205030873330835
62	0.121807182496949	0.121807182496949
63	0.100661048840702	0.100661048840702
64	-0.124408778386384	-0.124408778386384
65	-0.0651621400441822	-0.0651621400441822
66	0.397087560463437	0.397087560463437
67	0.292772196854873	0.292772196854873
68	-1.04759540720168	-1.04759540720168
69	-0.0509761508339883	-0.0509761508339883
70	-0.221441416533637	-0.221441416533637
71	-0.99942588938028	-0.99942588938028
72	-0.141526802441103	-0.141526802441103
73	0.210618253206936	0.210618253206936
74	-0.695515745638665	-0.695515745638665
75	-0.0889686785152646	-0.0889686785152646
76	-0.808578701053601	-0.808578701053601
77	0.321530068314082	0.321530068314082
78	-0.311464495913273	-0.311464495913273
79	0.808806218031502	10.1662164446376
80	0.0609039621160297	0.0609039621160297
81	-0.478500688878439	-0.478500688878439
82	0.542692379851539	0.542692379851539
83	-0.657026666451278	-0.657026666451278
84	0.389360083658105	0.389360083658105
85	0.20646114850738	0.20646114850738
86	0.207639718651989	0.207639718651989
87	-0.866379248743589	-0.866379248743589
88	0.563563635821752	0.563563635821752
89	-0.215798842519709	-0.215798842519709
90	0.0566015789872161	0.0566015789872161
91	0.321241910673053	0.321241910673053
92	0.0149535324868406	0.0149535324868406
93	0.0550872155659423	0.0550872155659423
94	0.584073366337149	0.584073366337149
95	-0.61590026381465	-0.61590026381465
96	-0.0241263663842808	-0.0241263663842808
97	-0.534761833006993	-0.534761833006993
98	0.0207004643818496	0.0207004643818496
99	-0.151128946218469	-0.151128946218469
100	0.321027606823839	0.321027606823839
101	-0.59093896657174	-0.59093896657174
102	0.833528819824819	0.833528819824819
103	-0.454566750804416	-0.454566750804416
104	0.220912763206608	0.220912763206608
105	0.0432507357130288	0.0432507357130288
